"","V1","V2","V3"
"1","SLC7A11","11.5038731837525","0.909741308488332"
"2","GLI3","11.2291112006959","1.28905483207954"
"3","RANBP3L","11.6358847875163","1.16610497230751"
"4","BMPR1B","11.932378905451","1.026280121052"
"5","ENC1","11.4863639709991","1.07338788233111"
"6","LMO4","10.7857315524079","1.0902925569756"
"7","NRGN","10.3472176160777","2.35154451629562"
"8","CABP1","10.8346496495413","0.97168970552534"
"9","SATB2","11.0237848559483","1.06673189053732"
"10","SV2B","11.3482803761186","0.943297380393431"
"11","ERBB4","15.2138052668095","1.35942978656546"
"12","SLC6A1","11.6812839815033","1.12241624442988"
"13","ZNF385D","13.4400625599205","1.09900318451121"
"14","GAD1","11.9123924776129","1.06964599864174"
"15","SYK","11.7388702102789","0.976574587137181"
"16","C3","12.3836411260292","1.17115140327773"
"17","CD74","11.9143625064554","1.41134056021478"
"18","CSF1R","12.2454842544001","0.894838966602355"
"19","C10orf90","11.9280363155481","0.973765117291853"
"20","DOCK5","12.1746498571013","0.707055720581723"
"21","UGT8","11.9147889488982","0.527322825646093"
"22","ENPP2","12.4209172689972","0.484496422908699"
"23","RNF220","13.7054290312354","0.855718174967231"
"24","SMOC1","11.9616951343373","1.29199891064934"
"25","VCAN","13.2629156074376","1.16544325280854"
"26","PDGFRA","11.1312941172243","1.39180711007235"
